编码,标签名,分类,子分类,数据来源,计算逻辑,更新频率,枚举值,备注
deep_circle_count,所属圈子数,会员身份,身份,CRM后台,COUNT(用户当前参与的深海圈),实时,"多圈(>=3) / 双圈(2) / 单圈(1) / 未参与(0)",一人可属多个圈子
deep_circle_list,所属圈子列表,会员身份,身份,CRM后台,用户所在深海圈名称列表,实时,"AI产品出海 / YouTube AI 视频 / B站好物 等",多值字段
deep_status,会员状态,会员身份,身份,CRM后台,深海圈会员当前状态,实时,"正常 / 已退出 / 已移除",
deep_achievement,成果标识,会员身份,身份,CRM后台,基于收益产出的成就标签,全历史,"万刀户(>=1万) / 千刀户(>=1千) / 无",对应客户管理"用户成果标签"
deep_expire_countdown,到期倒计时,会员身份,身份,CRM后台,MIN(各圈子到期日) - 今天,每日,"即将到期(<=30天) / 临近(31-60天) / 充裕(>60天) / 已过期",取最近到期的圈子
deep_course_progress,课程完成率,学习行为,学习,官网API,SUM(已完成课程数>80%) / SUM(总课程数) × 100%,当期,"优秀(>=80%) / 良好(50-79%) / 一般(20-49%) / 低(<20%)",汇总所有圈子
deep_course_learned,已学课程数,学习行为,学习,官网API,SUM(各圈子进度>0的课程卡片数),当期,"重度(>=20) / 中度(10-19) / 轻度(3-9) / 极少(<3)",汇总所有圈子
deep_live_watched,直播观看量,学习行为,学习,官网API,SUM(各圈子已观看直播回放数),当期,"活跃(>=10) / 一般(3-9) / 少量(1-2) / 零(0)",
deep_homework_rate,作业提交率,学习行为,学习,官网API,SUM(已提交作业数) / SUM(应提交总数) × 100%,当期,"全勤(100%) / 积极(>=70%) / 一般(30-69%) / 低(<30%)",
deep_study_consistency,学习连续性,学习行为,学习,计算字段,今天 - MAX(各圈子最近学习时间),实时,"持续学习(<=3天) / 间歇(4-13天) / 中断(14-29天) / 长期中断(>=30天)",取所有圈子中最近的学习时间
deep_last_study_gap,最近学习间隔,学习行为,学习,计算字段,今天 - MAX(各圈子最近学习时间),每日,"活跃(<=7天) / 正常(8-14天) / 预警(15-30天) / 沉默(>30天)",与study_consistency类似但阈值不同
deep_post_freq,发帖频率,社区活跃,社区,官网API,近30天在深海圈社区发帖数,30天,"高产(>=10) / 活跃(3-9) / 偶尔(1-2) / 潜水(0)",
deep_comment_active,评论活跃度,社区活跃,社区,官网API,近30天评论数,30天,"高互动(>=20) / 中互动(5-19) / 低互动(1-4) / 零互动(0)",
deep_like_active,点赞活跃度,社区活跃,社区,官网API,近30天点赞数,30天,"活跃(>=30) / 一般(10-29) / 少(1-9) / 零(0)",
deep_anchor_active,投锚活跃度,社区活跃,社区,官网API,近30天投锚数,30天,"活跃(>=5) / 一般(1-4) / 零(0)",
deep_read_volume,阅读量级,社区活跃,社区,官网API,近30天在深海圈阅读篇数,30天,"重度(>=30篇) / 中度(10-29篇) / 轻度(3-9篇) / 极少(<3篇)",
deep_read_depth,阅读深度,社区活跃,社区,官网API,近30天平均阅读停留时长,30天,"深度(>=5min) / 中度(2-5min) / 浅层(<2min)",
deep_login_gap,登录间隔,社区活跃,社区,官网API,今天 - 最近登录深海圈官网时间,每日,"活跃(<=3天) / 正常(4-13天) / 预警(14-29天) / 沉默(>=30天)",
deep_topic_pref,关注话题TOP3,社区活跃,社区,官网API,按阅读+讨论排序的话题,90天,"AI / 电商 / 短视频 / 写作 / 本地生活",多值字段
deep_group_msg_freq,群发言频率,社群活跃,社群,微信插件,近30天微信群发言次数,30天,"活跃(>=20次) / 一般(5-19次) / 低(<5次) / 零(0)",
deep_group_msg_gap,群发言间隔,社群活跃,社群,微信插件,今天 - 最近群发言时间,每日,"活跃(<=3天) / 正常(4-7天) / 预警(8-14天) / 沉默(>14天)",
deep_output_count,产出成果数,成果产出,成果,官网API,发布的作品/报告数,全历史,"高产(>=10) / 一般(3-9) / 少量(1-2) / 无(0)",
deep_output_quality,产出质量,成果产出,成果,官网API,被评为优秀/精华的成果数,全历史,"优质(>=3精华) / 良好(1-2) / 普通(0)",
deep_revenue_flag,项目收益,成果产出,成果,CRM后台,通过项目实际产生的收入,全历史,"万刀户(>=1万) / 千刀户(>=1千) / 有收益(<1千) / 未产生",与deep_achievement联动
deep_case_study,案例标杆,成果产出,成果,CRM后台,是否被选为项目标杆案例,全历史,"是 / 否",
deep_role,身份角色,角色协作,角色,CRM后台,在深海圈中的身份,实时,"教练 / 志愿者 / 管理员 / 学员",对应客户管理"身份"字段
deep_mentoring_count,带教人数,角色协作,角色,CRM后台,作为教练/志愿者带领的学员数,全历史,"资深(>=10) / 有经验(3-9) / 新手(1-2) / 无(0)",
deep_role_growth,角色成长路径,角色协作,角色,CRM后台,从学员到教练的升级历程,全历史,"学员→志愿者→教练 / 学员→志愿者 / 学员 / 新人",
deep_collab_active,协作活跃度,角色协作,协作,官网API,跨圈子协作行为次数,180天,"活跃协作(>=5次) / 有协作(1-4次) / 独立参与(0)",
deep_alumni_network,校友网络,角色协作,协作,官网API,与圈友的持续互动强度,180天,"强连接(持续互动) / 弱连接(偶尔) / 断联",
deep_active_level,综合活跃等级,流失预警,预警,计算字段,"学习行为(40%) + 社区活跃(30%) + 社群活跃(30%) 加权评分",30天,"高活跃 / 中活跃 / 低活跃 / 不活跃",
deep_churn_signal,流失信号,流失预警,预警,计算字段,"连续未学习>=14天 AND 群发言<5次 AND 未登录>=14天",每日,"高风险 / 中风险 / 低风险 / 无风险",多条件复合判断
deep_inactive_duration,不活跃时长,流失预警,预警,学习行为计算,用户活跃情况标签,每日,"连续一周不活跃 / 连续两周不活跃 / 超过一个月未活跃 / 活跃",对应客户管理"用户活跃情况"字段
